endDate,totalLiab,totalStockholderEquity,totalAssets,commonStock,cash,totalCurrentLiabilities,propertyPlantEquipment,totalCurrentAssets,netTangibleAssets,shortTermInvestments,netReceivables,inventory,accountsPayable,capitalSurplus,otherCurrentLiab,otherCurrentAssets,retainedEarnings,otherLiab,treasuryStock,otherAssets,deferredLongTermAssetCharges,otherStockholderEquity,stockId,ticker,intangibleAssets,minorityInterest,goodWill,longTermDebt,longTermInvestments,shortLongTermDebt,deferredLongTermLiab
2018-09-30,3132000000.0,9899200000.0,14383500000.0,51900000.0,6610800000.0,2092900000.0,535000000.0,10213600000.0,7565800000.0,,733700000.0,,158900000.0,,1230500000.0,2523400000.0,10217900000.0,343200000.0,-370600000.0,220700000.0,17300000.0,-370600000.0,53843,BEN,538600000.0,1352300000.0,1794800000.0,695900000.0,1080800000.0,,
2017-09-30,2656300000.0,12620000000.0,17534000000.0,55500000.0,8523300000.0,1189400000.0,517200000.0,13533500000.0,10392300000.0,,767800000.0,,167400000.0,,312100000.0,3927900000.0,12849300000.0,422700000.0,-284800000.0,176500000.0,15800000.0,-284800000.0,53843,BEN,540500000.0,2257700000.0,1687200000.0,1044200000.0,1079100000.0,,
2019-12-31,158279000000.0,63864000000.0,222449000000.0,17000000.0,5683000000.0,53303000000.0,32904000000.0,50302000000.0,-49006000000.0,2373000000.0,19617000000.0,17516000000.0,10492000000.0,45955000000.0,18579000000.0,5113000000.0,45108000000.0,21351000000.0,-27216000000.0,9059000000.0,,990000000.0,53858,CVS,33121000000.0,306000000.0,79749000000.0,63918000000.0,17314000000.0,3754000000.0,
2018-12-31,137913000000.0,58225000000.0,196456000000.0,17000000.0,4059000000.0,44009000000.0,11349000000.0,45243000000.0,-56977000000.0,2522000000.0,17631000000.0,16450000000.0,8925000000.0,45423000000.0,16398000000.0,4581000000.0,40911000000.0,22460000000.0,-28126000000.0,8930000000.0,,73000000.0,53858,CVS,36524000000.0,318000000.0,78678000000.0,70802000000.0,15732000000.0,1265000000.0,
2017-12-31,57436000000.0,37691000000.0,95131000000.0,17000000.0,1696000000.0,30648000000.0,10292000000.0,31229000000.0,-14390000000.0,111000000.0,13181000000.0,15296000000.0,8863000000.0,32079000000.0,10431000000.0,940000000.0,43556000000.0,4607000000.0,-37961000000.0,1417000000.0,,-196000000.0,53858,CVS,13630000000.0,4000000.0,38451000000.0,21511000000.0,112000000.0,3568000000.0,
2016-12-31,57628000000.0,36830000000.0,94462000000.0,17000000.0,3371000000.0,26250000000.0,10175000000.0,31042000000.0,-14930000000.0,87000000.0,12164000000.0,14760000000.0,7946000000.0,31618000000.0,9451000000.0,660000000.0,38983000000.0,5763000000.0,-33788000000.0,1485000000.0,,-336000000.0,53858,CVS,13511000000.0,4000000.0,38249000000.0,25615000000.0,,42000000.0,
2020-12-31,13323000000.0,4545000000.0,17868000000.0,1000000.0,202000000.0,1890000000.0,1292000000.0,2017000000.0,-1271000000.0,,1330000000.0,125000000.0,466000000.0,2482000000.0,147000000.0,342000000.0,6165000000.0,1906000000.0,-4103000000.0,8743000000.0,,-146000000.0,53859,URI,648000000.0,,5168000000.0,8903000000.0,,644000000.0,
2019-12-31,15140000000.0,3830000000.0,18970000000.0,1000000.0,52000000.0,2198000000.0,1273000000.0,1842000000.0,-2219000000.0,,1608000000.0,120000000.0,454000000.0,2440000000.0,169000000.0,50000000.0,5275000000.0,1978000000.0,-3886000000.0,9806000000.0,,-186000000.0,53859,URI,895000000.0,,5154000000.0,10362000000.0,,939000000.0,
2018-12-31,14730000000.0,3403000000.0,18133000000.0,1000000.0,43000000.0,2116000000.0,614000000.0,1761000000.0,-2739000000.0,,1545000000.0,109000000.0,536000000.0,2408000000.0,185000000.0,,4101000000.0,1770000000.0,-3107000000.0,9616000000.0,,-237000000.0,53859,URI,1084000000.0,,5058000000.0,10722000000.0,,903000000.0,
2017-12-31,11924000000.0,3106000000.0,15030000000.0,1000000.0,352000000.0,1668000000.0,467000000.0,1772000000.0,-1851000000.0,,1233000000.0,75000000.0,409000000.0,2356000000.0,160000000.0,,3005000000.0,1539000000.0,-2256000000.0,7834000000.0,,-151000000.0,53859,URI,875000000.0,,4082000000.0,8650000000.0,,723000000.0,
2020-10-02,6498686000.0,5815712000.0,12354353000.0,129748000.0,862424000.0,2941597000.0,896286000.0,4539599000.0,-481719000.0,347510000.0,3167310000.0,,1061754000.0,2598446000.0,491172000.0,,4020575000.0,1113446000.0,-933057000.0,621037000.0,211047000.0,-933057000.0,53882,J,658340000.0,39955000.0,5639091000.0,1708441000.0,,,
2019-09-27,5694053000.0,5714691000.0,11462711000.0,132879000.0,631068000.0,3073706000.0,308143000.0,4111768000.0,-382929000.0,451133000.0,2840209000.0,,1072645000.0,2559450000.0,688342000.0,,3939174000.0,1419102000.0,-916812000.0,945180000.0,514633000.0,-916812000.0,53882,J,665076000.0,53967000.0,5432544000.0,1201245000.0,,,
2018-09-28,6701441000.0,5854345000.0,12645795000.0,142218000.0,634870000.0,3145693000.0,257859000.0,4556584000.0,485537000.0,,2513934000.0,,776189000.0,2708839000.0,1279693000.0,1236684000.0,3809991000.0,1411581000.0,-806703000.0,2312492000.0,319405000.0,-806703000.0,53882,J,572952000.0,90009000.0,4795856000.0,2144167000.0,150052000.0,,
2017-09-29,2893508000.0,4428352000.0,7380859000.0,120386000.0,774151000.0,1926227000.0,349911000.0,2996180000.0,1085606000.0,,2102543000.0,,683605000.0,1239782000.0,379030000.0,,3721698000.0,732281000.0,-653514000.0,560622000.0,368700000.0,-653514000.0,53882,J,332920000.0,58999000.0,3009826000.0,235000000.0,131400000.0,,
2020-11-30,8149700000.0,3926100000.0,12089700000.0,1981300000.0,423600000.0,3046500000.0,1165200000.0,2083600000.0,-4415600000.0,,528500000.0,1032600000.0,1032300000.0,,117700000.0,60900000.0,2415600000.0,1245900000.0,-470800000.0,176300000.0,,-470800000.0,53923,MKC,3355400000.0,13900000.0,4986300000.0,3630000000.0,322900000.0,256800000.0,
2019-11-30,6905400000.0,3444200000.0,10362100000.0,1888600000.0,155400000.0,2154400000.0,952600000.0,1550200000.0,-3984400000.0,,502900000.0,801200000.0,846900000.0,,86000000.0,54700000.0,2055800000.0,1125200000.0,-500200000.0,120300000.0,,-500200000.0,53923,MKC,2923400000.0,12500000.0,4505200000.0,3494900000.0,310400000.0,90900000.0,
2018-11-30,7074200000.0,3170900000.0,10256400000.0,1770600000.0,96600000.0,2001700000.0,941500000.0,1479900000.0,-4273900000.0,,518100000.0,786300000.0,710000000.0,,,51700000.0,1760200000.0,1019600000.0,-359900000.0,102200000.0,,-359900000.0,53923,MKC,2916900000.0,11300000.0,4527900000.0,3914300000.0,288000000.0,83500000.0,
2017-11-30,7814900000.0,2559900000.0,10385800000.0,1672900000.0,186800000.0,1947300000.0,809100000.0,1617000000.0,-5001300000.0,,555100000.0,793300000.0,639900000.0,,4700000.0,49400000.0,1166500000.0,1423700000.0,-279500000.0,107900000.0,,-279500000.0,53923,MKC,3071100000.0,11000000.0,4490100000.0,4443900000.0,290600000.0,328100000.0,
2020-12-31,35647000000.0,15661000000.0,51308000000.0,482000000.0,2824000000.0,15964000000.0,5100000000.0,21543000000.0,-6509000000.0,,11185000000.0,5745000000.0,2952000000.0,3124000000.0,10009000000.0,1789000000.0,33498000000.0,9688000000.0,-21443000000.0,2495000000.0,,-3550000000.0,53929,GD,2117000000.0,,20053000000.0,9995000000.0,,3003000000.0,
2019-12-31,35264000000.0,13577000000.0,48841000000.0,482000000.0,902000000.0,16801000000.0,6298000000.0,19780000000.0,-8415000000.0,,11401000000.0,6306000000.0,3162000000.0,3039000000.0,8857000000.0,1171000000.0,31633000000.0,7915000000.0,-21577000000.0,771000000.0,33000000.0,-4219000000.0,53929,GD,2315000000.0,,19677000000.0,9010000000.0,,2920000000.0,
2018-12-31,33676000000.0,11732000000.0,45408000000.0,482000000.0,963000000.0,14739000000.0,3978000000.0,18189000000.0,-10447000000.0,,10335000000.0,5977000000.0,3179000000.0,2946000000.0,9119000000.0,914000000.0,29326000000.0,7493000000.0,-21022000000.0,1062000000.0,38000000.0,-3778000000.0,53929,GD,2585000000.0,,19594000000.0,11444000000.0,,123000000.0,
2017-12-31,23611000000.0,11435000000.0,35046000000.0,482000000.0,2983000000.0,13099000000.0,3517000000.0,18328000000.0,-1181000000.0,,8857000000.0,5303000000.0,3207000000.0,2872000000.0,8489000000.0,1185000000.0,26444000000.0,6532000000.0,-18363000000.0,585000000.0,75000000.0,-2820000000.0,53929,GD,702000000.0,,11914000000.0,3980000000.0,,2000000.0,
2020-09-30,18130900000.0,10630600000.0,28779700000.0,2600000.0,251100000.0,2928900000.0,11437500000.0,4944700000.0,1001200000.0,,2328500000.0,2023400000.0,1674200000.0,10916300000.0,469700000.0,341700000.0,1031600000.0,5448500000.0,-1319900000.0,2338500000.0,33800000.0,-1319900000.0,53959,WRK,3667200000.0,18200000.0,5962200000.0,8941900000.0,429600000.0,213900000.0,118200000.0
2019-09-30,18470600000.0,11669900000.0,30156700000.0,2600000.0,151600000.0,3435100000.0,11189500000.0,4974300000.0,324800000.0,,2381200000.0,2107500000.0,1831800000.0,10739400000.0,571800000.0,334000000.0,1997100000.0,5533200000.0,-1069200000.0,2178700000.0,33500000.0,-1069200000.0,53959,WRK,4059500000.0,16200000.0,7285600000.0,9316500000.0,469100000.0,471900000.0,124300000.0
2018-09-30,13873900000.0,11469400000.0,25360500000.0,2500000.0,636800000.0,3333300000.0,9082500000.0,4785100000.0,2769800000.0,,2010700000.0,1829600000.0,1716800000.0,10588900000.0,476500000.0,308000000.0,1573300000.0,4866100000.0,-695300000.0,2793300000.0,35200000.0,-695300000.0,53959,WRK,3122000000.0,17200000.0,5577600000.0,5674500000.0,,740700000.0,
2017-09-30,14698200000.0,10342500000.0,25089000000.0,2500000.0,298100000.0,3009800000.0,9118300000.0,4490900000.0,1484900000.0,,1886800000.0,1797300000.0,1492100000.0,10624900000.0,492300000.0,508700000.0,172400000.0,5742300000.0,-457300000.0,2622200000.0,32600000.0,-457300000.0,53959,WRK,3329300000.0,48300000.0,5528300000.0,5774700000.0,,603100000.0,
2020-03-28,2378285000.0,2315049000.0,4693334000.0,2438000.0,1777703000.0,1085681000.0,430393000.0,2909141000.0,1374070000.0,489513000.0,273028000.0,304340000.0,102131000.0,1145083000.0,127607000.0,30000.0,1187805000.0,493230000.0,-20277000.0,311795000.0,149415000.0,-20277000.0,53980,XLNX,321783000.0,,619196000.0,750410000.0,101026000.0,499260000.0,
2019-03-30,2289839000.0,2861509000.0,5151348000.0,2539000.0,1544490000.0,475036000.0,328929000.0,3891978000.0,2342662000.0,1631194000.0,335165000.0,315358000.0,117491000.0,1005411000.0,28718000.0,2802000.0,1876969000.0,579996000.0,-23410000.0,283523000.0,126702000.0,-23410000.0,53980,XLNX,178129000.0,,340718000.0,1234807000.0,128071000.0,,
2018-03-31,2700194000.0,2360353000.0,5060547000.0,2534000.0,2179328000.0,911945000.0,304117000.0,4154588000.0,2193809000.0,1268242000.0,382246000.0,236077000.0,98999000.0,878672000.0,47713000.0,2922000.0,1513656000.0,573809000.0,-34509000.0,337402000.0,96848000.0,-34509000.0,53980,XLNX,4123000.0,,162421000.0,1214440000.0,97896000.0,499186000.0,
2017-04-01,2232899000.0,2507633000.0,4740532000.0,2480000.0,966695000.0,897196000.0,303825000.0,3880116000.0,2342770000.0,2354762000.0,243915000.0,227033000.0,108293000.0,803522000.0,123075000.0,2424000.0,1726312000.0,340456000.0,-24681000.0,275440000.0,64400000.0,-24681000.0,53980,XLNX,3576000.0,,161287000.0,995247000.0,116288000.0,456328000.0,
2019-12-31,3103683000.0,1790357000.0,4919642000.0,220991000.0,670980000.0,1112888000.0,758393000.0,2505370000.0,416542000.0,,1068452000.0,660837000.0,447582000.0,501045000.0,270602000.0,892000.0,3695862000.0,473295000.0,-2627541000.0,282064000.0,54879000.0,-575958000.0,53984,FLS,180805000.0,25602000.0,1193010000.0,1358811000.0,,6650000.0,
2018-12-31,2955497000.0,1642315000.0,4616277000.0,220991000.0,619683000.0,1080975000.0,610096000.0,2383145000.0,254125000.0,,1021013000.0,633871000.0,418893000.0,494551000.0,247291000.0,535000.0,3543007000.0,459693000.0,-2616234000.0,234846000.0,44682000.0,-566830000.0,53984,FLS,190550000.0,18465000.0,1197640000.0,1401288000.0,,68218000.0,
2017-12-31,3239520000.0,1654587000.0,4910474000.0,220991000.0,703445000.0,1242908000.0,671796000.0,2558745000.0,226350000.0,,856711000.0,884273000.0,443113000.0,488326000.0,358711000.0,2489000.0,3503947000.0,496954000.0,-2558677000.0,251696000.0,51974000.0,-499119000.0,53984,FLS,210049000.0,16367000.0,1218188000.0,1477461000.0,,75599000.0,
2016-12-31,3071535000.0,1616427000.0,4708923000.0,220991000.0,367162000.0,1178438000.0,724805000.0,2297689000.0,196846000.0,,882638000.0,897690000.0,412087000.0,491848000.0,325078000.0,682000.0,3598396000.0,407839000.0,-2694808000.0,266848000.0,83722000.0,-616281000.0,53984,FLS,214527000.0,20961000.0,1205054000.0,1485258000.0,,85365000.0,
2020-12-31,9281000000.0,6457000000.0,16034000000.0,6457000000.0,1650000000.0,3810000000.0,4591000000.0,6167000000.0,6457000000.0,,2919000000.0,1286000000.0,2352000000.0,,1409000000.0,,,1733000000.0,,5276000000.0,,,54007,BWA,,296000000.0,,3738000000.0,,,
2019-12-31,4858000000.0,4706000000.0,9702000000.0,3000000.0,832000000.0,2329000000.0,3010000000.0,3836000000.0,2462000000.0,,1968000000.0,807000000.0,1325000000.0,1145000000.0,322000000.0,134000000.0,5942000000.0,788000000.0,-2384000000.0,296000000.0,79000000.0,-727000000.0,54007,BWA,402000000.0,138000000.0,1842000000.0,1674000000.0,316000000.0,252000000.0,
