Beta (5Y Monthly),52-Week Change 3,S&P500 52-Week Change 3,52 Week High 3,52 Week Low 3,50-Day Moving Average 3,200-Day Moving Average 3,Avg Vol (3 month) 3,Avg Vol (10 day) 3,Shares Outstanding 5,Float,% Held by Insiders 1,% Held by Institutions 1,"Shares Short (Jan 28, 2021) 4","Short Ratio (Jan 28, 2021) 4","Short % of Float (Jan 28, 2021) 4","Short % of Shares Outstanding (Jan 28, 2021) 4","Shares Short (prior month Dec 30, 2020) 4",Forward Annual Dividend Rate 4,Forward Annual Dividend Yield 4,Trailing Annual Dividend Rate 3,Trailing Annual Dividend Yield 3,5 Year Average Dividend Yield 4,Payout Ratio 4,Dividend Date 3,Ex-Dividend Date 4,Last Split Factor 2,Last Split Date 3,Fiscal Year Ends,Most Recent Quarter (mrq),Profit Margin,Operating Margin (ttm),Return on Assets (ttm),Return on Equity (ttm),Revenue (ttm),Revenue Per Share (ttm),Quarterly Revenue Growth (yoy),Gross Profit (ttm),EBITDA,Net Income Avi to Common (ttm),Diluted EPS (ttm),Quarterly Earnings Growth (yoy),Total Cash (mrq),Total Cash Per Share (mrq),Total Debt (mrq),Total Debt/Equity (mrq),Current Ratio (mrq),Book Value Per Share (mrq),Operating Cash Flow (ttm),Levered Free Cash Flow (ttm),ticker,stockId,Shares Short 4,Short Ratio 4,Short % of Float 4,Short % of Shares Outstanding 4,Shares Short (prior month ) 4,"Shares Short (Aug 30, 2018) 4","Short Ratio (Aug 30, 2018) 4","Short % of Float (Aug 30, 2018) 4","Short % of Shares Outstanding (Aug 30, 2018) 4","Shares Short (prior month Jul 30, 2018) 4"
1.36,,,47.69,16.07,40.51,34.67,4.65M,4.12M,861.6M,860.5M,0.05%,92.27%,10.32M,2.11,1.20%,1.20%,10.96M,1.28,3.04%,1.28,3.04%,2.64,,"Dec 27, 2020","Mar 14, 2021",1:20,"Jun 30, 2009","Dec 30, 2020","Dec 30, 2020",-13.71%,5.34%,0.26%,-8.66%,43.35B,49.87,-21.20%,10.71B,6.61B,-5.98B,-6.88,,21.03B,24.41,37.53B,55.85,0.78,76.46,,,AIG,5706,,,,,,,,,,
0.8,,,689.0,309.38,608.63,561.12,263.14k,330.97k,24.77M,21.33M,14.36%,79.60%,551.82k,2.55,2.56%,1.85%,637.68k,,,,,,0.00%,,,2:1,"Mar 07, 2002","Dec 30, 2020","Dec 30, 2020",149.52%,15.92%,2.41%,48.69%,2.55B,85.52,26.50%,1.44B,543.26M,3.81B,126.20,51.60%,991.12M,33.21,225.69M,2.28,3.39,331.05,575.33M,426.92M,BIO,5711,,,,,,,,,,
1.14,,,309.14,82.07,256.1,214.86,8.83M,12.15M,1.17B,1.17B,0.10%,85.54%,15.78M,2.1,1.35%,1.35%,13.78M,,,,,,0.00%,,,,,"Dec 30, 2020","Dec 30, 2020",19.59%,15.98%,3.52%,22.72%,21.45B,18.29,23.30%,10B,4.3B,4.2B,3.54,209.10%,13.08B,11.17,9.72B,48.47,1.33,17.08,5.85B,5.03B,PYPL,5715,,,,,,,,,,
1.24,,,162.6,72.67,156.64,129.12,2.94M,1.86M,219.85M,218.85M,0.28%,93.36%,4.38M,1.43,2.08%,1.99%,3.68M,,,,,,0.00%,,,2:1,"May 22, 2011","Dec 30, 2020","Dec 30, 2020",9.94%,47.47%,10.10%,5.26%,6.07B,27.58,15.00%,5.52B,3.19B,603.4M,2.72,-39.70%,3B,13.65,2.93B,25.16,3.59,53.08,3B,2.11B,ALXN,5716,,,,,,,,,,
1.31,,,1564.91,415.0,1459.9,1328.4,270.44k,219.87k,28M,27.53M,1.15%,97.69%,704.44k,2.76,2.83%,2.52%,809.73k,,,,,,0.00%,,,,,"Dec 30, 2020","Dec 30, 2020",5.95%,6.15%,4.15%,19.21%,5.98B,214.37,11.60%,2.07B,606.8M,355.77M,12.52,163.70%,951.6M,33.99,3.16B,156.28,1.73,72.14,663.85M,209.29M,CMG,5728,,,,,,,,,,
0.78,,,152.29,76.99,142.7,127.49,1.34M,1.12M,252.21M,251.33M,0.29%,84.50%,6.21M,4.31,2.47%,2.46%,6.02M,3.4,2.33%,3.37,2.28%,2.34,32.03%,"Mar 30, 2021","Mar 08, 2021",2:1,"May 11, 1998","Dec 30, 2020","Dec 30, 2020",8.43%,11.18%,1.97%,9.78%,31.98B,126.16,4.10%,8.09B,4.37B,2.68B,10.52,50.10%,6.23B,24.71,6.91B,23.67,0.38,115.69,6.52B,12B,TRV,5731,,,,,,,,,,
1.24,,,79.86,23.77,75.45,63.61,1.15M,741.84k,138.86M,137.19M,1.13%,93.59%,1.96M,1.75,1.60%,1.41%,1.95M,0.24,0.32%,0.20,0.26%,,7.41%,"Jan 14, 2021","Dec 30, 2020",3:2,"Apr 09, 2000","Dec 30, 2019","Sep 29, 2020",3.45%,5.23%,4.34%,9.93%,11.4B,79.92,-9.90%,1.6B,895.56M,393.69M,2.70,19.70%,216.94M,1.56,1.48B,35.73,1.69,29.90,1.47B,1.15B,PWR,5737,,,,,,,,,,
0.56,,,225.25,125.0,204.66,207.54,2.13M,1.68M,245M,244.41M,0.20%,95.10%,3.19M,1.46,1.64%,1.30%,2.21M,1.44,0.72%,1.40,0.69%,1.03,13.86%,"Jan 18, 2021","Jan 03, 2021",,,"Jan 30, 2020","Oct 29, 2020",7.84%,10.49%,8.77%,37.37%,32.49B,129.63,17.30%,8.49B,3.96B,2.55B,10.10,57.10%,2.2B,8.98,13.46B,192.70,1.28,28.51,3.96B,2.44B,DG,5795,,,,,,,,,,
0.84,,,89.18,56.01,82.69,79.22,5.2M,4.69M,1.56B,1.55B,0.19%,75.39%,9.39M,2.05,0.60%,0.60%,8.04M,4.8,5.62%,4.74,5.49%,5.01,91.86%,"Jan 10, 2021","Dec 21, 2020",,,"Dec 30, 2020","Dec 30, 2020",28.08%,40.85%,16.71%,,28.69B,18.43,-3.50%,19.12B,12.7B,8.04B,5.16,22.30%,7.28B,4.67,32.24B,,1.10,-8.07,9.81B,8.66B,PM,5843,,,,,,,,,,
1.05,,,758.0,325.43,720.75,704.82,452.65k,488.67k,90.82M,80.03M,9.52%,80.01%,1.01M,2.36,1.23%,1.11%,1.2M,6.6,0.92%,5.36,0.74%,0.91,24.28%,"Dec 03, 2020","Feb 25, 2021",2:1,"Mar 30, 1997","Dec 30, 2020","Dec 30, 2020",11.06%,15.54%,8.72%,52.50%,18.36B,203.06,9.10%,8.68B,3.43B,2.03B,22.08,63.70%,226.6M,2.53,10.11B,280.09,1.00,40.29,,,SHW,5845,,,,,,,,,,
