Beta (5Y Monthly),52-Week Change 3,S&P500 52-Week Change 3,52 Week High 3,52 Week Low 3,50-Day Moving Average 3,200-Day Moving Average 3,Avg Vol (3 month) 3,Avg Vol (10 day) 3,Shares Outstanding 5,Float,% Held by Insiders 1,% Held by Institutions 1,"Shares Short (Jan 28, 2021) 4","Short Ratio (Jan 28, 2021) 4","Short % of Float (Jan 28, 2021) 4","Short % of Shares Outstanding (Jan 28, 2021) 4","Shares Short (prior month Dec 30, 2020) 4",Forward Annual Dividend Rate 4,Forward Annual Dividend Yield 4,Trailing Annual Dividend Rate 3,Trailing Annual Dividend Yield 3,5 Year Average Dividend Yield 4,Payout Ratio 4,Dividend Date 3,Ex-Dividend Date 4,Last Split Factor 2,Last Split Date 3,Fiscal Year Ends,Most Recent Quarter (mrq),Profit Margin,Operating Margin (ttm),Return on Assets (ttm),Return on Equity (ttm),Revenue (ttm),Revenue Per Share (ttm),Quarterly Revenue Growth (yoy),Gross Profit (ttm),EBITDA,Net Income Avi to Common (ttm),Diluted EPS (ttm),Quarterly Earnings Growth (yoy),Total Cash (mrq),Total Cash Per Share (mrq),Total Debt (mrq),Total Debt/Equity (mrq),Current Ratio (mrq),Book Value Per Share (mrq),Operating Cash Flow (ttm),Levered Free Cash Flow (ttm),ticker,stockId,Shares Short 4,Short Ratio 4,Short % of Float 4,Short % of Shares Outstanding 4,Shares Short (prior month ) 4,"Shares Short (Aug 30, 2018) 4","Short Ratio (Aug 30, 2018) 4","Short % of Float (Aug 30, 2018) 4","Short % of Shares Outstanding (Aug 30, 2018) 4","Shares Short (prior month Jul 30, 2018) 4"
1.08,,,53.39,26.38,50.0,45.19,2.82M,2.82M,393.1M,390.59M,0.23%,85.41%,6.62M,2.47,2.06%,1.68%,6.75M,2.05,4.19%,2.05,4.29%,4.15,168.03%,"Mar 14, 2021","Feb 16, 2021",1014:1000,"Jul 01, 2014","Dec 30, 2020","Dec 30, 2020",2.34%,8.90%,3.51%,6.19%,20.58B,52.52,-4.70%,6.31B,3.12B,482M,1.22,-7.30%,5.45B,13.88,8.41B,106.86,1.36,20.02,3.06B,1.65B,IP,7049,,,,,,,,,,
0.72,,,83.4,38.0,60.19,61.2,2.94M,2.56M,373.38M,350.31M,0.16%,75.60%,9.37M,2.69,3.28%,2.51%,8.52M,2.81,4.61%,2.78,4.56%,4.23,231.67%,"Feb 15, 2021","Jan 28, 2021",2:1,"Jan 02, 2005","Dec 30, 2019","Sep 29, 2020",24.94%,49.07%,2.71%,4.12%,1.63B,4.81,8.10%,1.4B,1.48B,406.85M,1.20,-77.30%,724.75M,2.07,8.63B,82.16,5.02,29.86,1.1B,877.88M,O,7060,,,,,,,,,,
0.72,,,173.65,109.16,163.01,151.67,8.1M,5.84M,2.63B,2.63B,0.08%,69.79%,15.59M,1.71,0.59%,0.59%,13.46M,4.04,2.48%,3.98,2.40%,2.63,72.23%,"Mar 08, 2021","Feb 21, 2021",2:1,"Jun 12, 2001","Jan 02, 2021","Jan 02, 2021",17.82%,24.11%,,23.74%,82.58B,30.92,8.30%,54.16B,26.97B,14.71B,5.51,-56.70%,30.78B,11.69,37.76B,58.56,,24.49,,,JNJ,7064,,,,,,,,,,
1.07,,,413.31,195.34,382.91,352.65,293.7k,325.96k,36.95M,37.39M,1.50%,89.31%,1.74M,3.92,5.62%,4.70%,384.85k,,,,,,0.00%,,,,,"Jan 02, 2021","Jan 02, 2021",13.02%,15.95%,6.38%,13.52%,3.09B,81.43,-3.00%,1.18B,608.87M,401.9M,10.60,14.20%,673.1M,17.71,778.5M,24.11,2.26,84.96,,,TDY,7065,,,,,,,,,,
0.58,,,57.54,40.7,47.27,48.34,2.32M,1.77M,302.94M,193.2M,35.54%,53.76%,19.3M,6.69,9.87%,6.37%,19.21M,1.48,3.20%,1.40,2.97%,2.93,58.09%,"Jan 31, 2021","Jan 06, 2021",2:1,"Mar 17, 1997","Aug 01, 2020","Oct 31, 2020",20.02%,15.37%,6.66%,36.40%,8.85B,29.27,7.20%,3.01B,1.68B,732M,5.82,86.10%,722M,2.38,6.32B,227.80,0.85,9.14,1.51B,1.04B,CPB,7066,,,,,,,,,,
1.12,,,284.5,115.29,228.91,236.9,9.53M,5.92M,917.73M,881.75M,3.62%,83.47%,23.22M,3,2.93%,2.53%,21.83M,,,,,,0.00%,,,4:1,"Apr 17, 2013","Jan 30, 2020","Oct 30, 2020",17.53%,1.31%,0.31%,9.67%,20.29B,22.51,20.10%,12.86B,2.02B,3.56B,3.86,,9.49B,10.37,6.22B,15.44,1.22,44.10,4.26B,5.99B,CRM,7093,,,,,,,,,,
0.84,,,74.89,41.85,69.29,65.61,838.19k,1.56M,142.77M,140.74M,1.37%,98.12%,4.49M,6.23,4.09%,3.14%,4.63M,,,,,,0.00%,,,1275:1000,"Feb 07, 2019","Dec 25, 2020","Dec 25, 2020",3.99%,5.61%,4.75%,10.17%,10.12B,71.01,18.60%,2.81B,752.93M,402.81M,2.82,-56.80%,421.18M,2.96,1B,23.25,1.66,23.50,598.91M,420.42M,HSIC,7143,,,,,,,,,,
0.31,,,180.0,114.18,159.51,161.67,2.32M,2.42M,431.3M,428.85M,0.41%,92.76%,4.02M,1.9,1.07%,0.93%,3.96M,5.32,3.21%,4.93,2.99%,3.51,209.79%,"Dec 30, 2020","Dec 13, 2020",,,"Dec 30, 2020","Dec 30, 2020",18.08%,33.34%,3.15%,10.59%,5.84B,13.81,11.00%,3.87B,3.56B,999M,2.35,287.80%,232M,0.54,25.42B,268.65,0.56,21.95,3.06B,1.04B,CCI,7168,,,,,,,,,,
1.03,,,87.6,24.27,63.44,60.2,2.42M,2.68M,417.38M,416.59M,0.17%,92.94%,5.55M,2.64,1.73%,1.33%,9.25M,2.44,3.57%,2.44,3.61%,5.04,108.43%,"Feb 25, 2021","Feb 18, 2021",3:2,"Sep 03, 1985","Dec 30, 2020","Dec 30, 2020",21.25%,17.73%,1.55%,6.07%,4.61B,11.09,-11.20%,1.98B,1.87B,978.84M,2.33,-27.00%,1.55B,3.7,14.34B,83.22,6.66,38.27,1.36B,2.14B,WELL,7176,,,,,,,,,,
1.6,,,51.93,23.58,48.06,38.15,1.78M,1.19M,164.09M,161.68M,1.50%,88.01%,3.03M,1.98,2.16%,1.85%,4.2M,1.36,2.63%,1.36,2.72%,1.96,45.03%,"Feb 24, 2021","Feb 16, 2021",4:1,"May 14, 1997","Dec 30, 2020","Dec 30, 2020",22.41%,29.02%,0.72%,7.07%,2.4B,14.69,10.40%,2.4B,,505M,3.02,55.20%,7.65B,46.61,2.91B,,,44.61,,,ZION,7180,,,,,,,,,,
0.22,,,51.48,22.85,31.38,30.0,5.81M,6.84M,543.21M,541.54M,0.25%,81.41%,16.56M,3.68,4.38%,3.05%,16.25M,1.56,4.58%,1.56,4.55%,4.18,84.32%,"Feb 28, 2021","Feb 03, 2021",1:3,"Apr 03, 2003","Dec 30, 2020","Dec 30, 2020",10.17%,15.89%,2.43%,14.11%,10.61B,19.57,-5.20%,7.77B,2.94B,1B,1.99,,1.73B,3.19,24.78B,342.43,0.74,13.32,1.42B,-2B,FE,7195,,,,,,,,,,
1.03,,,24.4,15.12,21.06,21.03,6.12M,4.92M,581.9M,576.73M,0.94%,99.78%,19.64M,3.52,4.70%,3.38%,21.36M,0.5,2.40%,,,1.67,48.08%,"Mar 16, 2021","Feb 18, 2021",2:1,"Nov 30, 2004","Apr 02, 2020","Dec 31, 2020",23.71%,39.19%,4.90%,15.56%,2.49B,4.20,3.40%,2.1B,987M,637M,,-93.70%,1.07B,1.84,3.7B,,1.01,,-1.42B,-1.52B,NLOK,7214,,,,,,,,,,
1.04,,,495.14,155.67,461.0,394.02,1.67M,1.56M,404.5M,399.82M,2.49%,83.17%,4.38M,2.74,1.50%,1.08%,3.77M,14.4,2.94%,13.35,2.76%,2.50,205.37%,"Dec 30, 2020","Dec 17, 2020",,,"Oct 31, 2020","Oct 31, 2020",12.39%,17.79%,3.70%,12.12%,23.89B,59.42,12.00%,17.37B,11.04B,2.66B,6.33,56.30%,7.62B,18.73,41.69B,174.42,1.87,58.66,12.06B,11.88B,AVGO,7239,,,,,,,,,,
1.41,,,16.96,7.86,14.53,12.8,8.08M,10.14M,705.33M,697.28M,1.18%,98.27%,42.88M,5.59,8.68%,6.08%,38.5M,,,0.20,1.25%,4.69,,"Apr 14, 2020","Mar 29, 2020",10215:10000,"Nov 03, 2009","Dec 30, 2020","Dec 30, 2020",-46.04%,-57.74%,-4.55%,-10.66%,1.59B,2.25,-80.30%,-199M,-254M,-732M,-1.04,,2.34B,3.31,6.15B,95.60,33.20,8.96,,,HST,7265,,,,,,,,,,
1.51,,,77.76,27.2,73.21,59.14,10.83M,7.56M,1.81B,1.43B,21.20%,58.63%,28.23M,2.26,1.97%,1.56%,27.7M,1.4,1.84%,1.40,1.87%,2.33,21.67%,"Feb 11, 2021","Jan 27, 2021",2:1,"Jan 26, 2000","Dec 30, 2020","Dec 30, 2020",22.81%,37.15%,,12.96%,48.2B,30.07,25.60%,42.8B,,10.5B,6.46,51.20%,578.41B,319.57,303.76B,338.20,,50.67,,,MS,7271,,,,,,,,,,
0.61,,,77.81,43.63,59.39,57.61,1.76M,2.26M,378.51M,378.14M,0.06%,90.97%,6.39M,4.04,1.82%,1.69%,6.03M,2.65,4.80%,2.55,4.58%,3.44,277.17%,"Jan 30, 2021","Dec 29, 2020",2:1,"Jun 21, 1993","Dec 30, 2019","Sep 29, 2020",2.66%,20.65%,2.60%,2.30%,13.39B,36.34,24.10%,6.74B,4.57B,356M,0.96,,92M,0.24,22.85B,146.02,0.68,36.32,1.58B,-2.62B,EIX,7273,,,,,,,,,,
1.15,,,97.54,46.81,90.23,84.14,3.95M,3.66M,762.51M,761.48M,0.11%,76.66%,8.34M,1.96,1.10%,1.09%,8.12M,1.12,1.22%,1.04,1.16%,1.56,28.89%,"Mar 14, 2021","Feb 24, 2021",3:1,"Jun 15, 2011","Dec 30, 2020","Dec 30, 2020",26.13%,41.69%,7.07%,22.14%,10.58B,13.82,-2.10%,5.79B,5.79B,2.76B,3.60,-1.40%,3.13B,4.11,17.21B,131.24,2.20,17.18,4.26B,1.81B,CSX,7311,,,,,,,,,,
1.01,,,223.59,92.86,210.2,191.96,787.16k,645.66k,93.6M,90.25M,0.46%,89.57%,1.08M,1.33,1.36%,1.19%,1.13M,2.16,1.02%,1.64,0.79%,1.24,25.08%,"Apr 06, 2021","Mar 04, 2021",1:2,"Jul 12, 2000","Dec 30, 2020","Dec 30, 2020",23.44%,39.45%,6.57%,13.56%,2.63B,28.06,-4.90%,1.41B,1.4B,616.8M,6.54,30.30%,188.2M,2.07,3.84B,87.62,1.31,44.50,1.08B,605.21M,KSU,7322,,,,,,,,,,
1.11,,,221.28,105.08,208.33,199.74,2.65M,2.91M,673.87M,668.54M,0.16%,80.94%,5.38M,1.8,0.80%,0.80%,5.45M,3.88,1.86%,3.88,1.87%,2.13,49.24%,"Mar 30, 2021","Feb 24, 2021",2:1,"Jun 08, 2014","Dec 30, 2020","Dec 30, 2020",27.38%,40.33%,7.94%,30.49%,19.53B,28.84,-1.40%,11.43B,10.09B,5.35B,7.88,-1.60%,1.86B,2.78,28.33B,167.08,1.01,25.26,8.54B,3.83B,UNP,7335,,,,,,,,,,
0.78,,,66.2,39.71,62.25,59.5,10.62M,7.84M,3.01B,1.8B,38.91%,49.83%,24.45M,2.77,1.36%,0.83%,29.49M,0.96,1.55%,0.96,1.55%,1.56,29.18%,"Jan 20, 2021","Jan 05, 2021",2:1,"Oct 12, 2000","May 30, 2020","Nov 29, 2020",26.34%,38.22%,9.03%,83.71%,39.4B,12.81,1.90%,31.13B,17.27B,10.38B,3.31,5.70%,38.61B,13.11,70.92B,823.11,2.17,2.68,13.97B,11.15B,ORCL,7409,,,,,,,,,,
1.02,,,292.95,140.63,275.23,275.9,3.82M,3.06M,1.08B,1.08B,0.10%,71.43%,8.4M,2.2,0.78%,0.78%,7.67M,6,2.12%,6.00,2.12%,2.13,50.65%,"Dec 16, 2020","Dec 01, 2020",3:2,"Dec 30, 1999","Feb 01, 2020","Oct 31, 2020",9.94%,15.51%,20.42%,"5,514.35%",125.63B,116.70,23.20%,37.57B,21.93B,12.49B,11.56,23.90%,14.65B,13.61,41.04B,2673.88,1.36,1.43,20.34B,16.76B,HD,7454,,,,,,,,,,
1.47,,,316.78,130.85,292.73,233.46,3.02M,2.47M,344.07M,354.28M,0.60%,70.68%,4.27M,1.2,1.25%,1.24%,4.38M,5,1.58%,5.00,1.61%,1.64,20.21%,"Mar 29, 2021","Feb 28, 2021",,,"Dec 30, 2020","Dec 30, 2020",22.81%,38.35%,0.88%,10.06%,41.46B,116.34,19.00%,35.97B,,8.92B,24.74,135.10%,550B,1544.94,440B,458.33,2.61,238.19,,,GS,7458,,,,,,,,,,
1.0,,,312.12,124.53,296.08,282.27,491.1k,509.51k,73.93M,73.49M,0.58%,94.54%,845.47k,1.67,1.46%,1.14%,658.41k,0.66,0.22%,0.64,0.22%,0.49,14.22%,"Feb 02, 2021","Jan 18, 2021",2:1,"Sep 26, 2013","Dec 30, 2019","Sep 29, 2020",15.30%,18.12%,9.70%,19.44%,2.04B,27.53,20.10%,605.7M,476M,311.7M,4.57,46.20%,519.4M,7.03,329.5M,19.17,2.77,23.26,430.2M,207.06M,WST,7486,,,,,,,,,,
0.99,,,2145.14,1008.87,1911.25,1691.7,1.68M,1.25M,300.64M,607.3M,0.12%,80.25%,2.85M,1.47,0.95%,0.42%,2.51M,,,,,,0.00%,,,1998:1000,"Apr 02, 2014","Dec 30, 2020","Dec 30, 2020",22.06%,22.58%,8.65%,19.00%,182.53B,268.10,23.50%,97.8B,54.9B,40.27B,58.61,42.70%,136.69B,202.77,27.87B,12.52,3.07,329.59,65.12B,35.91B,GOOGL,7514,,,,,,,,,,
0.79,,,96.11,39.06,77.1,71.2,839.78k,480.01k,146.36M,145.54M,0.59%,92.67%,3.39M,3.68,3.43%,2.31%,3.23M,0.94,1.21%,0.92,1.19%,,45.54%,"Mar 04, 2021","Feb 03, 2021",,,"May 30, 2020","Nov 28, 2020",8.33%,15.00%,8.73%,97.05%,3.55B,24.28,-12.10%,942.2M,715M,296M,2.02,-31.00%,763.9M,5.22,2.78B,679.85,2.91,2.79,547.5M,364.41M,LW,7517,,,,,,,,,,
1.16,,,195.82,67.9,171.08,150.88,2.31M,2.14M,164.9M,164.28M,0.35%,79.52%,3.17M,1.38,2.18%,1.92%,3.59M,2,1.04%,1.88,1.00%,1.45,29.61%,"Mar 08, 2021","Feb 11, 2021",2:1,"Apr 19, 2000","Oct 01, 2020","Dec 31, 2020",26.88%,30.77%,14.53%,24.58%,3.97B,23.73,68.50%,1.64B,1.55B,1.07B,6.33,98.10%,1.02B,6.18,185.7M,4.21,5.07,26.77,1.29B,598.2M,SWKS,7521,,,,,,,,,,
0.8,,,210.66,116.61,191.91,191.18,690.06k,716.71k,162.59M,161.02M,1.04%,92.54%,1.33M,1.9,0.93%,0.82%,1.4M,1.08,0.56%,1.06,0.55%,,26.30%,"Dec 30, 2020","Dec 13, 2020",,,"Dec 30, 2019","Sep 29, 2020",24.33%,35.54%,9.04%,29.82%,2.75B,16.88,7.70%,1.63B,1.23B,668.7M,4.03,464.70%,225.5M,1.39,3.44B,142.02,0.56,14.88,995.6M,640.17M,VRSK,7524,,,,,,,,,,
1.26,,,304.67,137.1,266.22,270.44,18.47M,15.07M,2.4B,2.39B,0.63%,79.77%,23.28M,1.04,0.97%,0.82%,23.42M,,,,,,0.00%,,,,,"Dec 30, 2020","Dec 30, 2020",33.90%,38.01%,13.95%,25.42%,85.96B,30.15,33.20%,69.27B,39.53B,29.15B,10.09,52.70%,61.95B,21.76,11.18B,8.71,5.05,45.03,38.75B,16.01B,FB,7538,,,,,,,,,,
2.5,,,124.65,35.84,110.51,93.24,2.82M,3.07M,115.62M,97.01M,9.48%,73.31%,8.28M,2.96,8.80%,7.67%,9.77M,,,1.00,0.83%,2.33,,"Mar 05, 2020","Feb 24, 2020",,,"Dec 30, 2020","Dec 30, 2020",-98.63%,-58.78%,,-467.80%,2.1B,19.63,-58.50%,352.64M,-510.05M,-2.07B,-19.37,,3.55B,33.18,12.92B,,,-1.20,,,WYNN,7638,,,,,,,,,,
0.98,,,229.09,118.17,166.94,159.23,945.49k,780.18k,139.61M,138.74M,0.27%,93.95%,2.89M,3.49,2.82%,2.07%,2.59M,6.36,3.57%,6.36,3.58%,3.22,107.98%,"Apr 14, 2021","Mar 29, 2021",8:9,"Jan 06, 2013","Dec 30, 2020","Dec 30, 2020",35.94%,30.50%,2.29%,7.61%,2.3B,16.40,-6.70%,1.47B,1.41B,827.63M,5.89,103.50%,216.98M,1.56,7.56B,70.33,,77.22,,,AVB,7680,,,,,,,,,,
0.98,,,25.45,11.58,21.33,21.25,4.68M,4.12M,544.82M,543.34M,0.29%,98.01%,16.8M,4.06,3.47%,3.08%,16.31M,0.64,2.99%,0.88,4.02%,4.21,,"Mar 10, 2021","Feb 16, 2021",1000:843,"Sep 30, 2002","Dec 30, 2019","Sep 29, 2020",-6.73%,13.02%,2.93%,-6.51%,12.12B,23.33,-2.20%,3.32B,2.84B,-701M,-1.88,-55.20%,1.06B,1.96,13.35B,159.10,0.73,10.89,1.99B,-51.88M,CNP,7688,,,,,,,,,,
,,,169.0,82.51,158.42,143.73,1.06M,945.31k,227.95M,224.18M,1.72%,71.99%,5.08M,4.35,2.26%,2.24%,4.43M,4.32,2.65%,3.46,2.16%,2.66,36.07%,"Mar 29, 2021","Mar 14, 2021",2:1,"Jun 25, 2006","Dec 30, 2020","Dec 30, 2020",38.23%,44.24%,17.17%,28.85%,6.21B,27.13,18.00%,3.59B,2.94B,2.31B,9.98,43.70%,2.15B,9.49,,,3.90,33.98,,,TROW,7696,,,,,,,,,,
1.89,,,214.68,64.0,192.39,187.51,757.12k,528.44k,62.98M,62.72M,0.45%,96.89%,3.87M,4.13,8.68%,6.24%,4.13M,5,2.56%,4.85,2.54%,2.91,28.41%,"Dec 14, 2020","Feb 24, 2021",2:1,"Jan 01, 1987","Dec 30, 2020","Dec 30, 2020",5.56%,9.73%,6.03%,24.27%,19.46B,310.30,7.70%,3.85B,2.46B,1.08B,17.07,72.60%,2.92B,46.43,6.38B,135.51,1.08,60.30,1.5B,975.63M,WHR,7816,,,,,,,,,,
1.15,,,56.1,32.11,49.28,41.69,2.38M,3.96M,200.3M,193.04M,11.39%,87.48%,10.39M,4.96,6.94%,4.80%,11.4M,,,0.57,1.28%,2.67,,"Mar 19, 2020","Mar 05, 2020",2:1,"Oct 03, 2007","Dec 30, 2020","Dec 30, 2020",-9.83%,14.10%,3.03%,-7.19%,9.65B,44.53,-7.70%,3.77B,2.17B,-949M,-4.38,,770.1M,3.55,8.6B,68.17,0.62,57.06,1.7B,1.03B,TAP,7827,,,,,,,,,,
1.39,,,199.99,81.79,185.86,169.91,998.88k,989.59k,191.2M,189.9M,0.74%,92.11%,2.3M,2.74,1.35%,1.20%,2.08M,,,,,,0.00%,,,,,"Dec 30, 2020","Dec 30, 2020",2.46%,7.13%,2.12%,4.91%,11.36B,59.38,13.90%,3.86B,1.83B,279M,1.43,643.80%,1.9B,9.94,13.24B,210.80,1.12,31.39,1.96B,1.48B,IQV,7842,,,,,,,,,,
0.43,,,85.97,56.56,64.97,63.13,9.12M,6.76M,1.25B,1.25B,0.11%,80.07%,21.58M,2.16,1.72%,1.72%,21.57M,2.84,4.41%,2.72,4.17%,3.10,"2,720.00%","Mar 29, 2021","Mar 11, 2021",2:1,"Jan 27, 2013","Dec 30, 2020","Dec 30, 2020",0.50%,42.49%,10.08%,0.44%,24.69B,19.64,26.20%,20.18B,11.89B,123M,0.10,-42.50%,7.91B,6.31,38.79B,212.88,1.39,14.53,,,GILD,7919,,,,,,,,,,
1.13,,,129.19,64.11,89.95,83.58,862.75k,1.11M,76.75M,75.92M,0.86%,96.95%,3.03M,3.74,4.81%,4.01%,2.47M,4.24,4.25%,4.22,4.19%,3.40,260.49%,"Apr 14, 2021","Mar 14, 2021",3:2,"Nov 05, 1985","Dec 30, 2020","Dec 30, 2020",15.92%,29.07%,2.09%,4.98%,827.43M,10.96,-8.50%,543.7M,491.55M,122.67M,1.62,-35.70%,793.62M,10.34,4.44B,165.12,1.55,30.03,369.93M,227.58M,FRT,7926,,,,,,,,,,
1.24,,,98.44,41.93,92.82,79.0,1.95M,1.75M,268.04M,266.16M,0.60%,88.88%,11.66M,5.57,5.65%,4.35%,10.63M,,,0.96,1.02%,2.98,53.73%,"Sep 10, 2020","Aug 25, 2020",2:1,"Dec 21, 1999","Jun 26, 2020","Dec 25, 2020",30.66%,33.54%,13.15%,39.53%,2.35B,8.80,14.00%,1.43B,898.64M,721.95M,2.68,25.90%,1.81B,6.74,1.05B,54.51,5.67,7.19,795.13M,539.58M,MXIM,7952,,,,,,,,,,
1.22,,,140.09,52.7,130.59,119.97,886.88k,737.56k,114.17M,113.24M,0.74%,102.09%,1.32M,1.46,1.29%,1.13%,1.53M,2.72,2.01%,2.48,1.89%,2.00,14.72%,"Feb 22, 2021","Feb 07, 2021",,,"Dec 30, 2020","Dec 30, 2020",35.10%,12.98%,4.50%,59.00%,5.66B,48.00,11.10%,1.29B,1.08B,2B,16.75,"3,279.10%",1.49B,13.03,4.05B,103.93,1.91,30.88,1.34B,526.62M,CE,7986,,,,,,,,,,
0.57,,,135.54,63.5,127.99,121.69,3.93M,4.3M,1.24B,579.02M,52.72%,41.89%,12.98M,3.46,3.30%,1.04%,11.79M,,,,,,0.00%,"Sep 14, 2016","Apr 30, 2013",1:2,"Apr 30, 2013","Dec 30, 2020","Dec 30, 2020",4.48%,13.77%,4.10%,5.83%,68.4B,59.78,71.20%,40.78B,23.57B,2.74B,2.65,-0.10%,10.39B,8.36,107.25B,164.13,1.10,52.62,8.64B,5.09B,TMUS,7996,,,,,,,,,,
,,,31.05,6.5,27.74,21.33,5.46M,7.4M,379.09M,343.98M,9.59%,77.43%,6.25M,1.22,2.05%,1.65%,6.32M,0.2,0.69%,0.20,0.72%,2.08,11.43%,"Mar 17, 2021","Mar 02, 2021",2:1,"Nov 30, 1995","Dec 30, 2020","Dec 30, 2020",7.67%,4.76%,1.32%,6.96%,8.68B,22.77,18.40%,1.06B,1.25B,666.1M,1.75,,574M,1.51,4.58B,46.93,1.12,25.27,1.58B,-567.11M,MOS,8023,,,,,,,,,,
1.38,,,57.8,30.11,48.0,40.6,28.89M,24.15M,4.23B,4.22B,0.09%,52.20%,47.02M,1.56,1.11%,1.11%,44.06M,3.48,6.65%,3.48,6.69%,4.86,,"Mar 09, 2021","Feb 08, 2021",2:1,"Jul 18, 2001","Dec 30, 2020","Dec 30, 2020",-12.36%,-15.91%,,-12.12%,181.5B,42.50,-26.20%,827M,-9.1B,-22.44B,-5.25,,8.83B,2.09,68.8B,37.27,,41.96,,,XOM,8066,,,,,,,,,,
2.29,,,22.4,7.7,13.91,12.03,5.6M,3.65M,388.21M,358.3M,0.44%,100.53%,15.84M,3.01,4.10%,4.08%,13.28M,,,0.05,0.36%,1.45,,"Mar 26, 2020","Mar 11, 2020",1109:1000,"Jun 01, 2014","Dec 30, 2020","Dec 30, 2020",-41.74%,-8.77%,-2.89%,-38.66%,6.09B,15.86,-41.80%,434M,-182M,-2.54B,-6.62,,1.69B,4.36,2.56B,48.42,2.79,13.42,926M,893.75M,NOV,8098,,,,,,,,,,
1.24,,,47.9,17.06,44.51,42.49,1.14M,1.52M,155.15M,153.73M,0.73%,94.42%,2.26M,2.05,1.67%,1.46%,2.59M,0.64,1.47%,0.64,1.49%,1.52,20.65%,"Mar 18, 2021","Mar 03, 2021",2:1,"Mar 18, 2007","Dec 30, 2020","Dec 30, 2020",10.26%,16.30%,8.43%,,4.9B,31.59,3.20%,1.61B,973.1M,484.1M,3.22,36.30%,548.7M,3.54,3.84B,2225.16,1.38,1.11,737M,413.64M,SEE,8124,,,,,,,,,,
1.19,,,148.84,76.91,136.49,113.9,13.43M,10.48M,3.05B,3.02B,0.85%,71.93%,20.81M,1.33,0.69%,0.68%,19.75M,3.6,2.43%,3.60,2.47%,2.58,40.54%,"Jan 30, 2021","Jan 04, 2021",3:2,"Jun 11, 2000","Dec 30, 2020","Dec 30, 2020",28.54%,35.77%,0.96%,10.78%,102.06B,33.11,15.60%,102.06B,,27.41B,8.88,42.40%,1.33T,435.17,630.3B,,,81.75,,,JPM,8135,,,,,,,,,,
0.38,,,73.24,42.01,53.98,53.83,2.03M,1.15M,226.83M,226.01M,0.27%,83.51%,3.98M,1.81,2.03%,1.75%,7M,2.14,3.95%,2.02,3.66%,3.05,72.40%,"Dec 20, 2020","Nov 18, 2020",2:1,"May 21, 1987","Dec 30, 2019","Sep 29, 2020",12.75%,23.40%,2.74%,7.40%,4.95B,21.78,-3.80%,2.43B,2.09B,631.2M,2.76,-0.60%,361.6M,1.59,10.24B,116.61,0.91,38.80,1.72B,54.74M,EVRG,8138,,,,,,,,,,
0.62,,,231.91,124.23,211.91,214.82,3.19M,2.86M,745.11M,750.42M,0.06%,68.80%,5.73M,1.79,0.77%,0.77%,5.52M,5.16,2.40%,5.04,2.34%,2.51,79.87%,"Mar 14, 2021","Feb 25, 2021",2:1,"Mar 07, 1999","Dec 30, 2020","Dec 30, 2020",24.63%,37.56%,9.01%,,19.21B,25.61,-0.70%,9.75B,7.51B,4.73B,6.31,-12.40%,3.45B,4.59,48.52B,,1.01,-10.42,6.27B,5.51B,MCD,8147,,,,,,,,,,
0.64,,,306.08,197.47,224.3,239.92,1.9M,2.07M,259.96M,259.26M,0.09%,95.68%,3.47M,2.03,1.34%,1.34%,3.37M,,,,,,0.00%,,,2:1,"Aug 23, 2000","Dec 30, 2020","Dec 30, 2020",43.70%,46.24%,17.87%,36.71%,6.21B,23.88,15.20%,3.64B,2.98B,2.71B,10.29,3.60%,6.66B,25.61,942.46M,10.85,4.33,33.42,3.25B,2.12B,VRTX,8155,,,,,,,,,,
0.63,,,214.91,100.0,201.58,179.12,1.46M,1.4M,115.11M,109.11M,1.76%,95.33%,2.07M,1.76,2.04%,1.80%,3.29M,,,,,,0.00%,,,3:2,"Apr 11, 2005","Mar 30, 2020","Dec 30, 2020",14.96%,15.87%,6.02%,17.73%,3.29B,28.85,-7.40%,1.55B,602.9M,492.8M,4.27,11.40%,2.42B,22.1,187.38M,5.94,1.78,28.81,1.03B,660.17M,TTWO,8192,,,,,,,,,,
2.08,,,540.91,127.39,468.98,335.2,408.93k,303.79k,51.89M,51.62M,0.42%,93.50%,842.13k,1.61,1.83%,1.62%,644.69k,,,,,,0.00%,,"Feb 09, 1992",2:1,"May 15, 2000","Dec 30, 2020","Dec 30, 2020",31.99%,46.85%,1.39%,17.19%,3.78B,73.08,49.30%,3.78B,,1.19B,22.87,49.50%,17.67B,340.63,1.12B,,,151.86,,,SIVB,8206,,,,,,,,,,
0.17,,,109.53,68.01,87.08,93.99,1.32M,1.51M,315.44M,314.72M,0.17%,74.57%,3.89M,2.92,1.42%,1.23%,3.34M,2.71,3.26%,2.53,3.03%,2.96,66.75%,"Feb 28, 2021","Feb 10, 2021",2:1,"Mar 01, 2011","Dec 30, 2020","Dec 30, 2020",16.57%,23.56%,2.96%,11.48%,7.24B,22.96,-0.70%,2.89B,2.68B,1.2B,3.79,-2.00%,24.8M,0.08,14.29B,134.03,0.50,33.19,2.2B,-574.1M,WEC,8211,,,,,,,,,,
