endDate,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,operatingIncome,otherOperatingExpenses,interestExpense,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,stockId,ticker,type
2020-12-31,,,370000000,195000000,299000000,309000000,812000000,466000000,466000000,,-39000000,,,,55000000,4212000000,3746000000,3400000000,-96000000,,315000000,283000000,8604,APTV,quarterly
2020-09-30,,,303000000,191000000,299000000,262000000,674000000,376000000,376000000,,-38000000,,,,-2000000,3668000000,3292000000,2994000000,-73000000,,305000000,283000000,8604,APTV,quarterly
2020-06-30,,,-379000000,184000000,-366000000,248000000,43000000,-240000000,-240000000,,-44000000,,,,-14000000,1960000000,2200000000,1917000000,-139000000,,-365000000,-369000000,8604,APTV,quarterly
2020-03-31,,,1577000000,182000000,1572000000,284000000,528000000,208000000,208000000,,-43000000,,,,10000000,3226000000,3018000000,2698000000,1369000000,,1567000000,1572000000,8604,APTV,quarterly
2020-12-31,,,-2208000000,,-2289000000,866000000,2894000000,833000000,833000000,,-396000000,,,,81000000,5125000000,4292000000,2231000000,-3041000000,,-2289000000,-2289000000,8673,LUMN,quarterly
2020-09-30,,,480000000,,366000000,852000000,2931000000,886000000,886000000,,-409000000,,,,114000000,5167000000,4281000000,2236000000,-406000000,,366000000,366000000,8673,LUMN,quarterly
2020-06-30,,,513000000,,377000000,901000000,2960000000,897000000,897000000,,-414000000,,,,136000000,5192000000,4295000000,2232000000,-384000000,,377000000,377000000,8673,LUMN,quarterly
2020-03-31,,,433000000,,314000000,857000000,2993000000,976000000,976000000,,-449000000,,,,119000000,5228000000,4252000000,2235000000,-543000000,,314000000,314000000,8673,LUMN,quarterly
2020-12-31,,,96576000,586463000,72838000,25144000,131239000,49163000,49163000,,-29061000,,,,0,225148000,175985000,93909000,47413000,,96576000,171001000,8694,SLG,quarterly
2020-09-30,,,20677000,633542000,19461000,23602000,132807000,46989000,46989000,,-27267000,,,,0,229212000,182223000,96405000,-26312000,,20677000,13526000,8694,SLG,quarterly
2020-06-30,,,66627000,669940000,62534000,23510000,148311000,70760000,70760000,-12800000.0,-33379000,,,,0,238700000,167940000,90389000,-4133000,,66627000,56361000,8694,SLG,quarterly
2020-03-31,,,127114000,705413000,121205000,19570000,157034000,105785000,105785000,-36600000.0,-40493000,,,,0,264889000,159104000,107855000,21329000,,127114000,114299000,8694,SLG,quarterly
2020-12-31,,,202800000,18800000,152000000,382900000,749500000,274700000,274700000,,-105500000,,,,50300000,4401500000,4126800000,3652000000,-71900000,,152500000,152000000,8718,WRK,quarterly
2020-09-30,,,-1114500000,18200000,-1156000000,365100000,873000000,408900000,408900000,,-164700000,,,,40000000,4471500000,4062600000,3598500000,-1523400000,,-1154500000,-1156000000,8718,WRK,quarterly
2020-06-30,,,199200000,18400000,178500000,364500000,765800000,301700000,301700000,,-98400000,,,,19200000,4236300000,3934600000,3470500000,-102500000,,180000000,178500000,8718,WRK,quarterly
2020-03-31,,,206700000,17200000,148100000,392500000,804800000,312200000,312200000,,-97300000,,,,57800000,4447300000,4135100000,3642500000,-105500000,,148900000,148000000,8718,WRK,quarterly
2020-12-31,605000000,,-8625000000,241000000,-8420000000,1722000000,-4062000000,-6389000000,-6389000000,,-698000000,,,,-186000000,15304000000,21693000000,19366000000,-2236000000,,-8439000000,-8420000000,8729,BA,quarterly
2020-09-30,574000000,,-925000000,268000000,-449000000,881000000,1952000000,497000000,497000000,,-643000000,,,,-459000000,14139000000,13642000000,12187000000,-1422000000,,-466000000,-449000000,8729,BA,quarterly
2020-06-30,625000000,,-3423000000,285000000,-2376000000,1091000000,-326000000,-2042000000,-2042000000,,-553000000,,,,-1028000000,11807000000,13849000000,12133000000,-1381000000,,-2395000000,-2376000000,8729,BA,quarterly
2020-03-31,672000000,,-1503000000,305000000,-628000000,799000000,1074000000,-397000000,-397000000,,-262000000,,,,-862000000,16908000000,17305000000,15834000000,-1106000000,,-641000000,-628000000,8729,BA,quarterly
2020-12-31,,,620522000,,471140000,654539000,1465530000,0,638855000,172136000,,,,,149382000,1465530000,826675000,0,-18333000,,471140000,451863000,8736,MTB,quarterly
2020-09-30,,,486882000,,372136000,645914000,1313656000,0,502917000,164825000,,,,,114746000,1313656000,810739000,0,-16035000,,372136000,353399000,8736,MTB,quarterly
2020-06-30,,,312368000,,241054000,618409000,1119410000,0,330488000,170513000,,,,,71314000,1119410000,788922000,0,-18120000,,241054000,223098000,8736,MTB,quarterly
2020-03-31,,,349749000,,268822000,714120000,1256165000,0,365933000,176112000,,,,,80927000,1256165000,890232000,0,-16184000,,268822000,250701000,8736,MTB,quarterly
2020-12-31,,,570000000,702200000,398100000,101300000,626900000,471800000,471800000,,-19100000,,,,141500000,3757000000,3285200000,3130100000,98200000,,428500000,398100000,8755,OMC,quarterly
2020-09-30,,,455800000,693300000,313300000,90200000,646300000,501400000,501400000,,-54400000,,,,120900000,3206500000,2705100000,2560200000,-45600000,,334900000,313300000,8755,OMC,quarterly
