endDate,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,operatingIncome,otherOperatingExpenses,interestExpense,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,stockId,ticker
2017-12-31,49577000,,100618000,,57284000,137905000,287023000,99541000,99541000,,-1568000,,,,43334000,302238000,202697000,15215000,1077000,,57284000,57284000,49394,SUPN
2016-12-31,42791000,,50369000,,91221000,106010000,203017000,54216000,54216000,,-5091000,,,,-40852000,215003000,160787000,11986000,-3847000,,91221000,91221000,49394,SUPN
2019-12-31,,,25149648,,25149648,2467213,2661629,122416,122416,72000,,,,,0,2661629,2539213,0,25027232,,25149648,25149648,49396,SWZ
2018-12-31,,,-27600085,,-27600085,4305428,7813505,3418077,3418077,90000,,,,,0,7813505,4395428,0,-31018162,,-27600085,-27600085,49396,SWZ
2017-12-31,,,68404212,,68404212,4806445,8316895,3420450,3420450,90000,,,,,0,8316895,4896445,0,64983762,,68404212,68404212,49396,SWZ
2016-12-31,,,-8472938,,-8472938,3843029,8110419,4177390,4177390,90000,,,,,0,8110419,3933029,0,-12650328,,-8472938,-8472938,49396,SWZ
2019-12-31,,,-472758000,,-293113000,189211000,842704000,186875000,186875000,215521000,-118056000,,,,-179645000,2739189000,2552314000,1896485000,-659633000,,-293113000,-293113000,49399,AAWW
2018-12-31,,,309374000,,270567000,166487000,874407000,295027000,295027000,195553000,-114651000,,,,38727000,2677724000,2382697000,1803317000,14347000,-80000.0,270647000,270567000,49399,AAWW
2017-12-31,,,143372000,,223473000,144699000,726613000,246558000,246558000,168643000,-92298000,,,,-80966000,2156460000,1909902000,1429847000,-103186000,-865000.0,224338000,223473000,49399,AAWW
2016-12-31,,,89416000,,41516000,127748000,619868000,200511000,200511000,142733000,-81337000,,,,46791000,1839627000,1639116000,1219759000,-111095000,-1109000.0,42625000,41516000,49399,AAWW
2019-12-31,,,-15452000,,-15213000,17169000,22749000,-16246000,-16246000,,-435000,,,,-239000,145773000,162019000,123024000,794000,,-15213000,-15213000,49402,DWSN
2018-12-31,,,-25205000,,-24407000,16287000,21219000,-25027000,-25027000,,-408000,,,,-798000,154156000,179183000,132937000,-178000,,-24407000,-24407000,49402,DWSN
2017-12-31,,,-37104000,,-31790000,16189000,17460000,-37964000,-37964000,,-158000,,,,-5314000,156532000,194496000,139072000,860000,,-31790000,-31790000,49402,DWSN
2016-12-31,,,-44293000,,-38333000,16822000,13617000,-47488000,-47488000,,-260000,,,,-5960000,137640000,185128000,124023000,3195000,,-38333000,-38333000,49402,DWSN
2019-12-31,9674000,,-16395000,,-16395000,6854000,0,-16528000,-16528000,,,,,,0,0,16528000,0,133000,,-16395000,-16395000,49403,ACHV
2018-12-31,5868000,,-12687000,,-12687000,6945000,0,-12813000,-12813000,,,,,,0,0,12813000,0,126000,,-12687000,-12687000,49403,ACHV
2017-12-31,3101000,,-13634000,,-10583000,3531000,0,-6632000,-6632000,,,,,,-3051000,0,6632000,0,-7002000,,-10583000,-10583000,49403,ACHV
2016-12-31,286000,,-1738000,,-1234000,1428000,0,-1714000,-1714000,,,,,,-504000,0,1714000,0,-24000,,-1234000,-1234000,49403,ACHV
2020-02-01,,,672000000,,491000000,2673000000,3565000000,713000000,713000000,4000000,-10000000,,,,181000000,8005000000,7292000000,4440000000,-41000000,,491000000,491000000,49404,FL
2019-02-02,,,713000000,,541000000,2366000000,3278000000,734000000,734000000,4000000,-11000000,,,,172000000,7939000000,7205000000,4661000000,-21000000,,541000000,541000000,49404,FL
2018-02-03,,,578000000,,284000000,2235000000,3191000000,783000000,783000000,4000000,-12000000,,,,294000000,7782000000,6999000000,4591000000,-205000000,,284000000,284000000,49404,FL
2017-01-28,,,1004000000,,664000000,2164000000,3326000000,1004000000,1004000000,4000000,-11000000,,,,340000000,7766000000,6762000000,4440000000,0,,664000000,664000000,49404,FL
